Категория;Сложность;Вопрос;Варианты_ответов
Литература;Легкий;Кто написал «Мастер и Маргарита»?;[Михаил Булгаков, Александр Блок, Андрей Белый, Владимир Набоков]
Литература;Легкий;Кто написал «Войну и мир»?;[Лев Толстой, Фёдор Достоевский, Антон Чехов, Иван Тургенев]
Литература;Легкий;Кто написал «Преступление и наказание»?;[Фёдор Достоевский, Лев Толстой, Антон Чехов, Иван Тургенев]
Литература;Легкий;Кто написал «Анну Каренину»?;[Лев Толстой, Фёдор Достоевский, Антон Чехов, Иван Тургенев]
Литература;Средний;Кто написал «Божественную комедию»?;[Данте, Петрарка, Боккаччо, Гомер]
Литература;Средний;Кто написал «Гамлета»?;[Уильям Шекспир, Кристофер Марло, Джон Милтон, Джон Донн]
Литература;Средний;Кто написал «1984»?;[Джордж Оруэлл, Рэй Брэдбери, Герберт Уэллс, Айзек Азимов]
Литература;Лёгкий; Кто написал «Робинзона Крузо»?;[Даниэль Дефо, Джонатан Свифт, Чарльз Диккенс, Марк Твен]
Литература;Лёгкий; Кто автор «Одиссеи»?;[Гомер, Гесиод, Софокл, Еврипид]
Литература;Средний; Кто написал роман «Гордость и предубеждение»?;[Джейн Остин, Шарлотта Бронте, Эмили Бронте, Джордж Элиот]
Литература;Средний; Кто автор пьесы «Вишнёвый сад»?;[Антон Чехов, Максим Горький, Лев Толстой, Фёдор Достоевский]
Литература;Средний;Кто написал «Великий Гэтсби»?;[Фрэнсис Скотт Фицджеральд, Эрнест Хемингуэй, Джон Стейнбек, Уильям Фолкнер]
Литература;Средний;Кто написал «Мёртвые души»?;[Николай Гоголь, Михаил Булгаков, Александр Пушкин, Иван Тургенев]
Литература;Сложный;Кто написал «Братья Карамазовы»?;[Фёдор Достоевский, Лев Толстой, Антон Чехов, Иван Тургенев]
Литература;Сложный;Кто написал «Войну миров»?;[Герберт Уэллс, Рэй Брэдбери, Артур Кларк, Айзек Азимов]
Литература;Сложный;Кто написал «Портрет Дориана Грея»?;[Оскар Уайльд, Артур Конан Дойл, Редьярд Киплинг, Томас Харди]
Литература;Сложный;Кто написал «Улисс»?;[Джеймс Джойс, Вирджиния Вулф, Т. С. Элиот, Д. Х. Лоуренс]
Литература;Сложный;Кто написал «Сто лет одиночества»?;[Габриэль Гарсиа Маркес, Хорхе Луис Борхес, Марио Варгас Льоса, Пабло Неруда]
Музыка;Легкий;Сколько струн у скрипки?;[4, 5, 6, 3]
Музыка;Легкий;Сколько клавиш у фортепиано?;[88, 76, 96, 64]
Музыка;Легкий;Кто написал «Симфонию №5»?;[Бетховен, Моцарт, Бах, Шопен]
Музыка;Легкий;Какой инструмент называется «король инструментов»?;[Орган, Фортепиано, Скрипка, Труба]
Музыка;Легкий;Сколько голосов в хоре?;[4, 3, 5, 2]
Музыка;Средний;Кто основал группу The Beatles?;[Джон Леннон, Пол Маккартни, Джордж Харрисон, Ринго Старр]
Музыка;Средний;В каком году вышел альбом «Thriller» Майкла Джексона?;[1982, 1985, 1980, 1988]
Музыка;Средний;Кто написал «Четыре времени года»?;[Вивальди, Бах, Моцарт, Бетховен]
Музыка;Средний;Сколько голосов в оперном квартете?;[4, 3, 5, 2]
Музыка;Лёгкий; Сколько октав на стандартном фортепиано?;[7, 5, 6, 8]
Музыка;Лёгкий; Кто написал оперу «Кармен»?;[Жорж Бизе, Джузеппе Верди, Рихард Вагнер, Пётр Чайковский]
Музыка;Средний; Кто основатель группы The Beatles?;[Джон Леннон, Пол Маккартни, Джордж Харрисон, Ринго Старр]
Музыка;Средний; Кто написал «Лунную сонату»?;[Людвиг ван Бетховен, Вольфганг Амадей Моцарт, Иоганн Себастьян Бах, Фредерик Шопен]
Музыка;Сложный; Кто композитор балета «Лебединое озеро»?;[Пётр Чайковский, Игорь Стравинский, Сергей Прокофьев, Модест Мусоргский]
Музыка;Сложный; Кто написал симфонию № 40?;[Вольфганг Амадей Моцарт, Людвиг ван Бетховен, Франц Шуберт, Йозеф Гайдн]
Музыка;Средний;Какой музыкальный инструмент называется «король инструментов»?;[Орган, Фортепиано, Скрипка, Труба]
Музыка;Сложный;Кто написал симфонию №9 «Хоровая»?;[Бетховен, Моцарт, Брамс, Шуберт]
Музыка;Сложный;Кто написал «Времена года»?;[Вивальди, Бах, Гендель, Перголези]
Музыка;Сложный;Кто написал «Клятвопреступление»?;[Джузеппе Верди, Джакомо Пуччини, Риккардо Зандонаи, Амилкаре Понкьелли]
Музыка;Сложный;Кто написал «Свадьбу Фигаро»?;[Моцарт, Гайдн, Бетховен, Шуберт]
Музыка;Сложный;Кто написал «Кармен»?;[Жорж Бизе, Шарль Гуно, Джакомо Пуччини, Рихард Вагнер]
Кино;Легкий;Кто сыграл Джека в «Титанике»?;[Леонардо Ди Каприо, Брэд Питт, Том Круз, Джонни Депп]
Кино;Легкий;Как называется первая часть «Звёздных войн»?;[Эпизод IV, Эпизод I, Эпизод II, Эпизод III]
Кино;Легкий;Кто режиссёр «Крёстного отца»?;[Фрэнсис Форд Коппола, Стивен Спилберг, Мартин Скорсезе, Квентин Тарантино]
Кино;Легкий;Сколько «Оскаров» получил «Титаник»?;[11, 10, 9, 12]
Кино;Легкий;Кто снял фильм «Криминальное чтиво»?;[Квентин Тарантино, Гай Ричи, Дэвид Финчер, Райан Джонсон]
Кино;Средний;В каком году вышел первый «Звёздный путь» фильм?;[1979, 1975, 1982, 1985]
Кино;Средний;Кто сыграл Гарри Поттера в фильмах?;[Дэниел Рэдклифф, Руперт Гринт, Том Фелтон, Эмма Уотсон]
Кино;Средний;Кто режиссёр фильма «Начало»?;[Кристофер Нолан, Джеймс Кэмерон, Питер Джексон, Джордж Лукас]
Кино;Средний; В каком году вышел первый фильм «Звёздные войны»?;[1977, 1980, 1975, 1983]
Кино;Средний; Кто сыграл роль Нео в «Матрице»?;[Киану Ривз, Хьюго Уивинг, Лоренс Фишберн, Джозеф Гордон‑Левитт]
Кино;Сложный; Кто снял фильм «Побег из Шоушенка»?;[Фрэнк Дарабонт, Стивен Кинг, Квентин Тарантино, Мартин Скорсезе]
Кино;Средний;В каком году вышел первый фильм «Матрица»?;[1999, 1997, 2001, 1995]
Кино;Средний;Кто сыграл Железного человека?;[Роберт Дауни мл., Крис Эванс, Марк Руффало, Крис Хемсворт]
Кино;Сложный;Кто снял фильм «Апокалипсис сегодня»?;[Фрэнсис Форд Коппола, Стивен Спилберг, Джордж Лукас, Мартин Скорсезе]
Кино;Сложный;Кто снял фильм «2001 год: Космическая одиссея»?;[Стэнли Кубрик, Альфред Хичкок, Фрэнсис Форд Коппола, Стивен Спилберг]
Кино;Сложный;Кто снял фильм «Паразиты»?;[Пон Джун-хо, Акира Куросава, Ким Ки Дук, Ли Чхан Дон]
Кино;Сложный;Кто снял фильм «Бойцовский клуб»?;[Дэвид Финчер, Тодд Филд, Терри Гиллиам, Майкл Бэй]
Кино;Сложный;Кто снял фильм «Сияние»?;[Стэнли Кубрик, Альфред Хичкок, Уильям Фридкин, Джордж Ромеро]
Игры;Легкий;Как называется игра про злых птиц?;[Angry Birds, Candy Crush, Clash of Clans, Pokemon GO]
Игры;Легкий;Сколько игроков в Minecraft?;[Бесконечно, 10, 50, 100]
Игры;Легкий;Кто создал серию игр «The Legend of Zelda»?;[Нинтендо, Sony, Microsoft, EA]
Игры;Легкий;В каком году вышел первый «Grand Theft Auto»?;[1997, 1995, 2000, 1998]
Игры;Легкий;Как называется игра про выживание с крафтом?;[Minecraft, Terraria, Subnautica, Rust]
Игры;Средний;Кто разрабатывает серию «The Witcher»?;[CD Projekt Red, Ubisoft, Bethesda, BioWare]
Игры;Средний;Как называется игра про супергероев от Rockstar?;[Red Dead Redemption, GTA, Max Payne, Bully]
Игры;Средний;Кто создал игру «Doom»?;[id Software, Epic Games, Valve, Bungie]
Игры;Средний;Как называется игра про шахты и сокровища?;[Minecraft, Terraria, Don't Starve, Factorio]
Игры;Средний;В каком году вышла игра «The Last of Us»?;[2013, 2015, 2010, 2018]
Игры;Сложный;Кто создал игру «Minecraft»?;[Маркус Перссон, Нотч, Джефф, Крис]
Игры;Средний; Кто разработчик игры «The Witcher 3: Wild Hunt»?;[CD Projekt Red, Ubisoft, Bethesda, BioWare]
Игры;Средний; В каком году вышла игра «Red Dead Redemption 2»?;[2018, 2016, 2020, 2014]
Игры;Сложный; Кто создатель игры «Dark Souls»?;[FromSoftware, Capcom, Konami, Square Enix]
Игры;Сложный; Какая компания разработала игру «Fortnite»?;[Epic Games, Valve, Rockstar Games, Activision]
Игры;Сложный;Как называется игра про космические сражения от Microsoft?;[Halo, Gears of War, Fable, Age of Empires]
Игры;Сложный;Кто создал игру «Dark Souls»?;[FromSoftware, Capcom, Konami, Square Enix]
Игры;Сложный;Как называется игра про выживание в постапокалипсисе?;[Fallout, The Elder Scrolls, Skyrim, Oblivion]
Игры;Лёгкий; В какой игре нужно выживать и строить из блоков?;[Minecraft, Terraria, Subnautica, Don’t Starve]
Игры;Средний; Какая игра вдохновила жанр «soulslike»?;[Dark Souls, Bloodborne, Elden Ring, Demon’s Souls]
Игры;Сложный; Как называется движок, на котором сделана Half‑Life 2?;[Source, Unreal Engine, Unity, Frostbite]
Игры;Сложный; В какой игре впервые появилась механика «quick time events» (QTE)?;[Shenmue, Resident Evil 4, God of War, Heavy Rain]
Игры;Сложный; Какая игра считается первой полноценной 3D‑RPG?;[The Elder Scrolls: Arena, Ultima Underworld, Final Fantasy VII, Diablo]
Игры;Сложный; Какой персонаж Final Fantasy VII использует огромный меч «Бастер»?;[Клауд Страйф, Баррет Уоллес, Тифа Локхарт, Ред XIII]
Игры;Сложный; В какой игре действие происходит в постапокалиптическом мире, где люди живут под землёй?;[Metro 2033, Fallout 3, S.T.A.L.K.E.R., Dying Light]
Игры;Сложный; Какая студия создала серию Mass Effect?;[BioWare, Obsidian Entertainment, CD Projekt Red, Bethesda]
Игры;Сложный; В какой игре главный герой может «перематывать» время, чтобы избежать смерти?;[Prince of Persia: The Sands of Time, Dishonored, Control, Quantum Break]
Игры;Сложный; Какая игра стала первой в серии Call of Duty, посвящённой Второй мировой войне?;[Call of Duty (2003), Call of Duty 2, Call of Duty: World at War, Call of Duty: Vanguard]
Игры;Сложный; В какой игре игрок управляет агентом, который может «взламывать» сознание людей?;[Deus Ex, System Shock, BioShock, Prey]
Игры;Средний; В какой игре игроки сражаются за контроль над точками на карте в режиме «захват флага»?;[Team Fortress 2, Overwatch, Valorant, Counter‑Strike]
Игры;Средний; Какой персонаж из Street Fighter использует «хадукен»?;[Рю, Кен, Чун‑Ли, Бланка]
Игры;Средний; В какой игре впервые появился персонаж Солид Снейк?;[Metal Gear Solid, Splinter Cell, Deus Ex, Hitman]
Игры;Средний; Какая игра считается первой в жанре «королевской битвы»?;[PUBG, Fortnite, Apex Legends, Call of Duty: Warzone]
Игры;Средний; В какой игре используется механика «перекатывания» для уклонения от атак?;[Dark Souls, God of War, Assassin’s Creed, Horizon Zero Dawn]
Игры;Лёгкий; Какая игра известна своими «крафтами» и зомби-ночами?;[Minecraft, Roblox, Fortnite, Among Us]
Игры;Лёгкий; В какой игре игроки ищут предателя среди экипажа?;[Among Us, Fall Guys, Valorant, Apex Legends]
Игры;Лёгкий; Какая серия игр посвящена гонкам на картах?;[Mario Kart, Need for Speed, Forza Horizon, Gran Turismo]
Игры;Лёгкий; Кто главный герой серии игр The Legend of Zelda?;[Линк, Зельда, Ганондорф, Импа]
Игры;Лёгкий; В какой игре можно приручать покемонов?;[Pokemon GO, Animal Crossing, Stardew Valley, Terraria]
Игры;Лёгкий; Какой жанр у игры Tetris?;[Головоломка, Стратегия, RPG, Экшен]
Игры;Лёгкий; В какой игре есть «королевская битва» и строительство?;[Fortnite, PUBG, Call of Duty, Battlefield]
Игры;Лёгкий; Какая компания создала Super Mario?;[Nintendo, Sony, Microsoft, Sega]
Игры;Сложный;Кто создал игру «Half-Life»?;[Valve, Epic Games, id Software, BioWare]
Кулинария;Легкий;Из чего делают суши?;[Рис, Паста, Картофель, Баклажан]
Кулинария;Легкий;Какой фрукт используется для бананового хлеба?;[Банан, Яблоко, Груша, Апельсин]
Кулинария;Легкий;Что такое паста карбонара?;[Макароны с беконом и яйцом, Паста с томатным соусом, Паста с грибами, Паста с креветками]
Кулинария;Легкий;Какая специя придаёт жёлтый цвет рису?;[Шафран, Куркума, Паприка, Карри]
Кулинария;Легкий;Что такое суфле?;[Воздушный десерт, Суп, Салат, Мясо]
Кулинария;Средний;Какой сыр используется для пиццы Маргарита?;[Моцарелла, Пармезан, Чеддер, Гауда]
Кулинария;Средний;Из чего делают хумус?;[Нут, Фасоль, Чечевица, Горох]
Кулинария;Средний;Что такое тако?;[Мексиканское блюдо, Китайское блюдо, Индийское блюдо, Японское блюдо]
Кулинария;Средний;Какая рыба используется для сашими?;[Сырая рыба, Варёная рыба, Жареная рыба, Копчёная рыба]
Кулинария;Средний;Что такое ризотто?;[Итальянское блюдо из риса, Французское блюдо из картофеля, Испанское блюдо из пасты, Немецкое блюдо из мяса]
Кулинария;Сложный;Как называется японское блюдо из сырой рыбы?;[Сашими, Суши, Рамен, Темпура]
Кулинария;Сложный;Что такое фо-бо?;[Вьетнамский суп, Китайский суп, Японский суп, Корейский суп]
Кулинария;Сложный;Какой ингредиент используется для тирамису?;[Маскарпоне, Рикотта, Пармезан, Моцарелла]
Кулинария;Сложный;Что такое гуакамоле?;[Соус из авокадо, Соус из томатов, Соус из чеснока, Соус из перца]
Кулинария;Лёгкий; Из чего делают паэлью?;[Рис, Паста, Картофель, Кукуруза]
Кулинария;Лёгкий; Какой ингредиент является основным в гуакамоле?;[Авокадо, Помидоры, Чеснок, Перец]
Кулинария;Средний; Что такое равиоли?;[Итальянские пельмени, Французские пирожки, Испанские тапас, Греческие пироги]
Кулинария;Средний; Из чего делают соус песто?;[Базилик, Кедровые орехи, Пармезан, Оливковое масло; Помидоры, Чеснок, Базилик, Оливковое масло; Сливки, Грибы, Лук, Сыр; Лимон, Мёд, Горчица, Оливковое масло]
Кулинария;Сложный; Какое блюдо является традиционным для мексиканской кухни?;[Тако, Паэлья, Равиоли, Суши]
Кулинария;Сложный; Что такое тартар?;[Блюдо из сырого мяса, Запечённое мясо, Жареное мясо, Тушёное мясо]
Кулинария;Сложный;Как называется французский пирог с заварным кремом?;[Квеш, Тарт, Пон, Круассан]
Животные;Легкий;Сколько ног у паука?;[8, 6, 4, 10]
Животные;Легкий;Какой зверь самый быстрый?;[Гепард, Лев, Тигр, Леопард]
Животные;Легкий;Какая птица не умеет летать?;[Страус, Орёл, Сокол, Воробей]
Животные;Легкий;Сколько сердец у осьминога?;[3, 2, 4, 1]
Животные;Легкий;Какой зверь спит стоя?;[Лошадь, Корова, Свинья, Коза]
Животные;Средний;Какое животное имеет самый большой мозг?;[Кит, Слон, Человек, Дельфин]
Животные;Средний;Какая птица самая большая?;[Страус, Пингвин, Орёл, Аист]
Животные;Лёгкий; Какое животное является символом Австралии?;[Кенгуру, Коала, Вомбат, Ехидна]
Животные;Лёгкий; Какая птица является самой быстрой в полёте?;[Сокол‑сапсан, Орёл, Альбатрос, Стриж]
Животные;Средний; Какое животное может менять цвет кожи?;[Хамелеон, Игуана, Ящерица, Геккон]
Животные;Средний; Какое млекопитающее умеет летать?;[Летучая мышь, Белка‑летяга, Опоссум, Лемур]
Животные;Сложный; Какое животное имеет самую длинную продолжительность жизни?;[Гренландский кит, Слон, Черепаха, Осьминог]
Животные;Сложный; У какого животного самые большие глаза?;[Гигантский кальмар, Синий кит, Африканский слон, Жираф]
Животные;Средний;Сколько ног у краба?;[10, 8, 6, 12]
Животные;Средний;Какое животное самое высокое?;[Жираф, Слон, Лошадь, Олень]
Животные;Средний;Какая рыба самая большая?;[Китовая акула, Белая акула, Тунец, Лосось]
Животные;Сложный;Какое животное имеет самый большой мозг у беспозвоночных?;[Осьминог, Слон, Кит, Дельфин]
Животные;Сложный;Какая змея самая ядовитая?;[Тайпан, Кобра, Гремучая змея, Анаконда]
Животные;Сложный;Какое животное самое медленное?;[Ленивец, Черепаха, Улитка, Двухпалый ленивец]
Животные;Сложный;Сколько зубов у акул за всю жизнь?;[30000, 10000, 5000, 15000]
Животные;Сложный;Какое животное может жить без воды дольше всех?;[Верблюд, Тушканчик, Крыса, Мышь]
Космос;Легкий;Сколько планет в Солнечной системе?;[8, 9, 7, 10]
Космос;Легкий;Какая планета красная?;[Марс, Венера, Юпитер, Сатурн]
Космос;Легкий;Что такое чёрная дыра?;[Область с сильной гравитацией, Звезда, Планета, Галактика]
Космос;Легкий;Сколько времени свету от Солнца до Земли?;[8 минут, 5 минут, 10 минут, 15 минут]
Космос;Легкий;Какая галактика ближе всего к Млечному Пути?;[Андромеда, Треугольник, Сомбреро, Мессье]
Космос;Средний;Кто первый вышел в открытый космос?;[Алексей Леонов, Юрий Гагарин, Нил Армстронг, Базз Олдрин]
Космос;Средний;Какая планета самая большая?;[Юпитер, Сатурн, Уран, Нептун]
Космос;Средний;Сколько спутников у Земли?;[1, 2, 3, 4]
Космос;Средний;Какая планета имеет кольца?;[Сатурн, Юпитер, Уран, Нептун]
Космос;Средний;Что такое туманность?;[Облако газа и пыли, Звезда, Планета, Галактика]
Космос;Сложный;Кто был первым человеком в космосе?;[Юрий Гагарин, Нил Армстронг, Алексей Леонов, Герман Титов]
Космос;Сложный;Какая планета вращается «лежа на боку»?;[Уран, Нептун, Сатурн, Юпитер]
Космос;Сложный;Сколько звёзд в Млечном Пути?;[100-400 млрд, 50-100 млрд, 1-10 млрд, 1 трлн]
Космос;Сложный;Что такое пульсар?;[Нейтронная звезда, Чёрная дыра, Белый карлик, Красный гигант]
Космос;Сложный;Какая галактика столкнётся с Млечным Путём?;[Андромеда, Треугольник, Сомбреро, Мессье]
Физика;Легкий;Единица измерения силы тока?;[Ампер, Вольт, Ватт, Ом]
Физика;Лёгкий;Единица измерения напряжения?;[Вольт, Ампер, Ом, Ватт]
Физика;Лёгкий;Как называется процесс перехода вещества из твёрдого состояния в жидкое?;[Плавление, Кристаллизация, Испарение, Конденсация]
Физика;Лёгкий;Какой прибор измеряет силу тока?;[Амперметр, Вольтметр, Омметр, Барометр]
Физика;Лёгкий;Что распространяется в вакууме со скоростью 300 000 км/с?;[Свет, Звук, Тепло, Гравитация]
Физика;Лёгкий;Как называется сила, препятствующая движению одного тела по поверхности другого?;[Трение, Тяготение, Упругость, Архимедова сила]
Физика;Легкий;Какая сила притягивает предметы к Земле?;[Гравитация, Магнетизм, Электричество, Ядерная]
Физика;Легкий;Скорость звука в воздухе?;[340 м/с, 300 м/с, 400 м/с, 250 м/с]
Физика;Легкий;Что такое масса?;[Количество вещества, Сила, Вес, Объём]
Физика;Легкий;Кто открыл закон всемирного тяготения?;[Ньютон, Эйнштейн, Галилей, Кеплер]
Физика;Средний;Какая формула E=mc??;[Энергия, Сила, Масса, Скорость]
Физика;Средний;Что такое квант?;[Минимальная порция энергии, Максимальная порция, Средняя порция, Средняя скорость]
Физика;Средний;Что такое инерция?;[Свойство тела сохранять состояние покоя или равномерного движения, Сила притяжения, Процесс теплопередачи, Вид электромагнитного излучения]
Физика;Средний;Как называется передача тепла через движение жидкости или газа?;[Конвекция, Кондукция, Излучение, Диффузия]
Физика;Средний;Какой закон утверждает, что энергия не создаётся и не уничтожается, а только переходит из одной формы в другую?;[Закон сохранения энергии, Закон сохранения импульса, Закон всемирного тяготения, Закон Кулона]
Физика;Средний;Как называется явление отклонения света при переходе из одной среды в другую?;[Преломление, Отражение, Дифракция, Интерференция]
Физика;Средний;Какой закон описывает движение тел?;[Закон Ньютона, Закон Кеплера, Закон Ома, Закон Бойля]
Физика;Средний;Что такое энтропия?;[Мера беспорядка, Мера порядка, Мера скорости, Мера массы]
Физика;Средний;Какая единица измерения мощности?;[Ватт, Джоуль, Ньютон, Паскаль]
Физика;Сложный;Кто создал теорию относительности?;[Эйнштейн, Ньютон, Галилей, Максвелл]
Физика;Сложный;Что такое кварк?;[Элементарная частица, Атом, Молекула, Ион]
Физика;Сложный;Как называется процесс спонтанного распада атомных ядер?;[Радиоактивность, Ионизация, Термоядерная реакция, Аннигиляция]
Физика;Сложный;Что описывает уравнение Шрёдингера?;[Поведение квантовых систем, Движение планет, Распространение электромагнитных волн, Процессы в чёрных дырах]
Физика;Сложный;Какой эффект объясняет красное смещение спектральных линий удалённых галактик?;[Эффект Доплера, Эффект Комптона, Эффект Зеемана, Эффект Холла]
